iter	Passed	Remaining
0	142	85277
1	142	42613
2	142	28393
3	142	21283
4	142	17014
5	143	14167
6	143	12134
7	143	10609
8	143	9423
9	143	8474
10	143	7698
11	143	7050
12	144	6503
13	144	6033
14	144	5627
15	144	5271
16	144	4958
17	144	4683
18	144	4432
19	145	4211
20	145	4008
21	145	3823
22	145	3653
23	145	3498
24	145	3355
25	146	3224
26	146	3102
27	146	2989
28	146	2884
29	146	2786
30	146	2694
31	146	2607
32	147	2526
33	147	2450
34	147	2378
35	147	2312
36	147	2250
37	148	2191
38	148	2133
39	148	2077
40	148	2025
41	148	1975
42	148	1927
43	148	1882
44	149	1838
45	149	1798
46	149	1758
47	149	1720
48	149	1683
49	149	1648
50	150	1614
51	150	1582
52	150	1550
53	150	1520
54	150	1493
55	150	1465
56	151	1438
57	151	1412
58	151	1387
59	151	1363
60	151	1339
61	151	1316
62	151	1294
63	152	1274
64	152	1254
65	152	1233
66	152	1214
67	152	1195
68	152	1176
69	153	1158
70	153	1141
71	153	1124
72	153	1107
73	153	1091
74	153	1075
75	153	1060
76	153	1045
77	154	1031
78	154	1017
79	154	1003
80	154	990
81	154	977
82	154	964
83	154	951
84	155	939
85	155	927
86	155	915
87	155	904
88	155	893
89	155	882
90	155	871
91	156	861
92	156	851
93	156	841
94	156	832
95	156	823
96	156	813
97	157	804
98	157	795
99	157	786
100	157	777
101	157	769
102	157	760
103	157	752
104	157	744
105	158	736
106	158	729
107	158	721
108	158	714
109	158	706
110	158	699
111	158	692
112	159	685
113	159	678
114	159	671
115	159	665
116	159	658
117	159	652
118	159	646
119	160	640
120	160	633
121	160	627
122	160	621
123	160	616
124	160	610
125	160	604
126	160	599
127	160	593
128	161	588
129	161	582
130	161	577
131	161	572
132	161	567
133	161	562
134	161	557
135	161	552
136	162	547
137	162	543
138	162	538
139	162	534
140	162	529
141	162	525
142	163	520
143	163	516
144	163	512
145	163	508
146	163	503
147	163	499
148	163	495
149	163	491
150	164	487
151	164	483
152	164	479
153	164	476
154	164	472
155	164	468
156	164	464
157	164	461
158	164	457
159	165	454
160	165	450
161	165	447
162	165	443
163	165	440
164	165	437
165	165	433
166	166	430
167	166	427
168	166	423
169	166	420
170	166	417
171	166	414
172	166	411
173	166	408
174	166	405
175	167	402
176	167	399
177	167	396
178	167	393
179	167	391
180	167	388
181	167	385
182	168	382
183	168	380
184	168	377
185	168	374
186	168	372
187	168	369
188	168	367
189	168	364
190	169	362
191	169	359
192	169	357
193	169	354
194	169	352
195	169	349
196	169	347
197	169	345
198	170	342
199	170	340
200	170	338
201	170	335
202	170	333
203	170	331
204	170	329
205	170	326
206	171	324
207	171	322
208	171	320
209	171	318
210	171	316
211	171	314
212	171	312
213	171	310
214	172	308
215	172	306
216	172	304
217	172	302
218	172	300
219	172	298
220	172	296
221	172	294
222	173	292
223	173	290
224	173	288
225	173	287
226	173	285
227	173	283
228	173	281
229	174	280
230	174	278
231	174	276
232	174	274
233	174	273
234	174	271
235	174	269
236	174	268
237	175	266
238	175	264
239	175	263
240	175	261
241	175	259
242	175	258
243	175	256
244	175	254
245	176	253
246	176	251
247	176	250
248	176	248
249	176	247
250	176	245
251	176	244
252	176	242
253	177	241
254	177	239
255	177	238
256	177	236
257	177	235
258	177	234
259	177	232
260	178	231
261	178	229
262	178	228
263	178	227
264	178	225
265	178	224
266	178	222
267	178	221
268	179	220
269	179	219
270	179	217
271	179	216
272	179	215
273	179	213
274	179	212
275	180	211
276	180	210
277	180	208
278	180	207
279	180	206
280	180	205
281	180	203
282	180	202
283	181	201
284	181	200
285	181	199
286	181	197
287	181	196
288	181	195
289	181	194
290	181	193
291	182	191
292	182	190
293	182	189
294	182	188
295	182	187
296	182	186
297	182	185
298	182	184
299	182	182
300	183	181
301	183	180
302	183	179
303	183	178
304	183	177
305	183	176
306	183	175
307	184	174
308	184	173
309	184	172
310	184	171
311	184	170
312	184	169
313	184	168
314	185	167
315	185	166
316	185	165
317	185	164
318	185	163
319	185	162
320	186	161
321	186	160
322	186	159
323	186	158
324	186	157
325	186	156
326	186	156
327	187	155
328	187	154
329	187	153
330	187	152
331	187	151
332	187	150
333	187	149
334	187	148
335	188	147
336	188	146
337	188	145
338	188	145
339	188	144
340	188	143
341	188	142
342	188	141
343	189	140
344	189	139
345	189	138
346	189	138
347	189	137
348	189	136
349	189	135
350	189	134
351	189	133
352	190	133
353	190	132
354	190	131
355	190	130
356	190	129
357	190	128
358	190	128
359	191	127
360	191	126
361	191	125
362	191	125
363	191	124
364	191	123
365	191	122
366	192	121
367	192	121
368	192	120
369	192	119
370	192	118
371	192	118
372	192	117
373	192	116
374	193	115
375	193	115
376	193	114
377	193	113
378	193	112
379	193	112
380	193	111
381	193	110
382	194	109
383	194	109
384	194	108
385	194	107
386	194	107
387	194	106
388	194	105
389	195	105
390	195	104
391	195	103
392	195	102
393	195	102
394	195	101
395	195	100
396	196	100
397	196	99
398	196	98
399	196	98
400	196	97
401	196	96
402	197	96
403	197	95
404	197	94
405	197	94
406	197	93
407	197	93
408	197	92
409	197	91
410	198	91
411	198	90
412	198	89
413	198	89
414	198	88
415	198	87
416	198	87
417	198	86
418	199	85
419	199	85
420	199	84
421	199	84
422	199	83
423	199	82
424	199	82
425	199	81
426	200	81
427	200	80
428	200	79
429	200	79
430	200	78
431	200	78
432	200	77
433	201	76
434	201	76
435	201	75
436	201	75
437	201	74
438	201	73
439	201	73
440	201	72
441	202	72
442	202	71
443	202	71
444	202	70
445	202	69
446	202	69
447	202	68
448	203	68
449	203	67
450	203	67
451	203	66
452	203	66
453	203	65
454	203	64
455	203	64
456	204	63
457	204	63
458	204	62
459	204	62
460	204	61
461	204	61
462	204	60
463	204	60
464	205	59
465	205	59
466	205	58
467	205	57
468	205	57
469	205	56
470	205	56
471	206	55
472	206	55
473	206	54
474	206	54
475	206	53
476	206	53
477	206	52
478	207	52
479	207	51
480	207	51
481	207	50
482	207	50
483	207	49
484	207	49
485	207	48
486	208	48
487	208	47
488	208	47
489	208	46
490	208	46
491	208	45
492	208	45
493	209	44
494	209	44
495	209	43
496	209	43
497	209	42
498	209	42
499	209	41
500	210	41
501	210	41
502	210	40
503	210	40
504	210	39
505	210	39
506	210	38
507	210	38
508	211	37
509	211	37
510	211	36
511	211	36
512	211	35
513	211	35
514	211	34
515	212	34
516	212	34
517	212	33
518	212	33
519	212	32
520	212	32
521	212	31
522	212	31
523	213	30
524	213	30
525	213	30
526	213	29
527	213	29
528	213	28
529	213	28
530	214	27
531	214	27
532	214	26
533	214	26
534	214	26
535	214	25
536	215	25
537	215	24
538	215	24
539	215	23
540	215	23
541	215	23
542	215	22
543	215	22
544	216	21
545	216	21
546	216	20
547	216	20
548	216	20
549	216	19
550	216	19
551	217	18
552	217	18
553	217	18
554	217	17
555	217	17
556	217	16
557	217	16
558	217	15
559	218	15
560	218	15
561	218	14
562	218	14
563	218	13
564	218	13
565	218	13
566	219	12
567	219	12
568	219	11
569	219	11
570	219	11
571	219	10
572	219	10
573	220	9
574	220	9
575	220	9
576	220	8
577	220	8
578	220	8
579	220	7
580	220	7
581	221	6
582	221	6
583	221	6
584	221	5
585	221	5
586	221	4
587	221	4
588	221	4
589	222	3
590	222	3
591	222	3
592	222	2
593	222	2
594	222	1
595	222	1
596	222	1
597	223	0
598	223	0
599	223	0
