year,class_id,class_name,count
1990,1,Water,6891
1990,2,Wetlands,3192
1990,3,Urban,11972
1990,4,Agriculture,224459
1990,5,Forest,116801
2000,1,Water,6898
2000,2,Wetlands,3230
2000,3,Urban,11945
2000,4,Agriculture,223664
2000,5,Forest,117578
2006,1,Water,6941
2006,2,Wetlands,3360
2006,3,Urban,11745
2006,4,Agriculture,219921
2006,5,Forest,121348
2012,1,Water,7105
2012,2,Wetlands,3166
2012,3,Urban,12287
2012,4,Agriculture,214179
2012,5,Forest,126578
2018,1,Water,7109
2018,2,Wetlands,3166
2018,3,Urban,12402
2018,4,Agriculture,214223
2018,5,Forest,126415
