year,class_id,class_name,count
1910,1,Water,988
1910,3,Urban,355
1910,4,Agriculture,61632
1910,5,Forest,16732
1911,1,Water,988
1911,3,Urban,357
1911,4,Agriculture,61606
1911,5,Forest,16801
1912,1,Water,988
1912,3,Urban,354
1912,4,Agriculture,61633
1912,5,Forest,16911
1913,1,Water,988
1913,3,Urban,352
1913,4,Agriculture,61634
1913,5,Forest,16996
1914,1,Water,988
1914,3,Urban,354
1914,4,Agriculture,61622
1914,5,Forest,17085
1915,1,Water,988
1915,3,Urban,352
1915,4,Agriculture,61635
1915,5,Forest,17108
1916,1,Water,988
1916,3,Urban,353
1916,4,Agriculture,61600
1916,5,Forest,17188
1917,1,Water,988
1917,3,Urban,353
1917,4,Agriculture,61609
1917,5,Forest,17230
1918,1,Water,988
1918,3,Urban,353
1918,4,Agriculture,61579
1918,5,Forest,17287
1919,1,Water,988
1919,3,Urban,350
1919,4,Agriculture,61594
1919,5,Forest,17331
1920,1,Water,988
1920,3,Urban,350
1920,4,Agriculture,61519
1920,5,Forest,17426
1921,1,Water,988
1921,3,Urban,353
1921,4,Agriculture,61507
1921,5,Forest,17479
1922,1,Water,988
1922,3,Urban,350
1922,4,Agriculture,61429
1922,5,Forest,17507
1923,1,Water,988
1923,3,Urban,354
1923,4,Agriculture,61394
1923,5,Forest,17560
1924,1,Water,988
1924,3,Urban,352
1924,4,Agriculture,61324
1924,5,Forest,17623
1925,1,Water,988
1925,3,Urban,350
1925,4,Agriculture,61329
1925,5,Forest,17662
1926,1,Water,988
1926,3,Urban,351
1926,4,Agriculture,61254
1926,5,Forest,17698
1927,1,Water,988
1927,3,Urban,350
1927,4,Agriculture,61237
1927,5,Forest,17710
1928,1,Water,988
1928,3,Urban,351
1928,4,Agriculture,61222
1928,5,Forest,17744
1929,1,Water,988
1929,3,Urban,352
1929,4,Agriculture,61226
1929,5,Forest,17764
1930,1,Water,988
1930,3,Urban,355
1930,4,Agriculture,61186
1930,5,Forest,17808
1931,1,Water,988
1931,3,Urban,356
1931,4,Agriculture,61167
1931,5,Forest,17837
1932,1,Water,988
1932,3,Urban,361
1932,4,Agriculture,61135
1932,5,Forest,17894
1933,1,Water,988
1933,3,Urban,363
1933,4,Agriculture,61175
1933,5,Forest,17919
1934,1,Water,988
1934,3,Urban,364
1934,4,Agriculture,61166
1934,5,Forest,17928
1935,1,Water,988
1935,3,Urban,366
1935,4,Agriculture,61181
1935,5,Forest,17934
1936,1,Water,988
1936,3,Urban,368
1936,4,Agriculture,61181
1936,5,Forest,17976
1937,1,Water,988
1937,3,Urban,370
1937,4,Agriculture,61196
1937,5,Forest,18022
1938,1,Water,988
1938,3,Urban,377
1938,4,Agriculture,61112
1938,5,Forest,18081
1939,1,Water,988
1939,3,Urban,377
1939,4,Agriculture,60954
1939,5,Forest,18080
1940,1,Water,988
1940,3,Urban,386
1940,4,Agriculture,60958
1940,5,Forest,18145
1941,1,Water,988
1941,3,Urban,382
1941,4,Agriculture,60719
1941,5,Forest,18184
1942,1,Water,988
1942,3,Urban,384
1942,4,Agriculture,60915
1942,5,Forest,18207
1943,1,Water,988
1943,3,Urban,388
