year,class_id,class_name,count
1950,3,Urban,3
1950,4,Agriculture,762
1950,5,Forest,142
1951,3,Urban,3
1951,4,Agriculture,759
1951,5,Forest,145
1952,3,Urban,3
1952,4,Agriculture,759
1952,5,Forest,145
1953,3,Urban,3
1953,4,Agriculture,756
1953,5,Forest,148
1954,3,Urban,3
1954,4,Agriculture,754
1954,5,Forest,150
1955,3,Urban,3
1955,4,Agriculture,747
1955,5,Forest,157
1956,3,Urban,3
1956,4,Agriculture,744
1956,5,Forest,160
1957,3,Urban,3
1957,4,Agriculture,740
1957,5,Forest,164
1958,3,Urban,3
1958,4,Agriculture,736
1958,5,Forest,168
1959,3,Urban,3
1959,4,Agriculture,733
1959,5,Forest,171
1960,3,Urban,3
1960,4,Agriculture,726
1960,5,Forest,178
1961,3,Urban,3
1961,4,Agriculture,725
1961,5,Forest,179
1962,3,Urban,3
1962,4,Agriculture,724
1962,5,Forest,180
1963,3,Urban,3
1963,4,Agriculture,724
1963,5,Forest,180
1964,3,Urban,3
1964,4,Agriculture,724
1964,5,Forest,180
1965,3,Urban,3
1965,4,Agriculture,721
1965,5,Forest,183
1966,3,Urban,3
1966,4,Agriculture,720
1966,5,Forest,184
1967,3,Urban,3
1967,4,Agriculture,717
1967,5,Forest,187
1968,3,Urban,3
1968,4,Agriculture,717
1968,5,Forest,187
1969,3,Urban,3
1969,4,Agriculture,717
1969,5,Forest,187
1970,3,Urban,3
1970,4,Agriculture,717
1970,5,Forest,187
1971,3,Urban,3
1971,4,Agriculture,717
1971,5,Forest,187
1972,3,Urban,3
1972,4,Agriculture,717
1972,5,Forest,187
1973,3,Urban,3
1973,4,Agriculture,716
1973,5,Forest,188
1974,3,Urban,3
1974,4,Agriculture,716
1974,5,Forest,188
1975,3,Urban,3
1975,4,Agriculture,716
1975,5,Forest,188
1976,3,Urban,3
1976,4,Agriculture,716
1976,5,Forest,188
1977,3,Urban,3
1977,4,Agriculture,715
1977,5,Forest,189
1978,3,Urban,3
1978,4,Agriculture,715
1978,5,Forest,189
1979,3,Urban,3
1979,4,Agriculture,715
1979,5,Forest,189
1980,3,Urban,3
1980,4,Agriculture,715
1980,5,Forest,189
1981,3,Urban,3
1981,4,Agriculture,715
1981,5,Forest,189
1982,3,Urban,3
1982,4,Agriculture,715
1982,5,Forest,189
1983,3,Urban,3
1983,4,Agriculture,715
1983,5,Forest,189
1984,3,Urban,3
1984,4,Agriculture,715
1984,5,Forest,189
1985,3,Urban,3
1985,4,Agriculture,715
1985,5,Forest,189
1986,3,Urban,3
1986,4,Agriculture,715
1986,5,Forest,189
1987,3,Urban,3
1987,4,Agriculture,714
1987,5,Forest,190
1988,3,Urban,3
1988,4,Agriculture,713
1988,5,Forest,191
1989,3,Urban,3
1989,4,Agriculture,713
1989,5,Forest,191
1990,3,Urban,3
1990,4,Agriculture,713
1990,5,Forest,191
1991,3,Urban,3
1991,4,Agriculture,712
1991,5,Forest,192
1992,3,Urban,3
1992,4,Agriculture,712
1992,5,Forest,192
1993,3,Urban,3
1993,4,Agriculture,710
1993,5,Forest,194
1994,3,Urban,3
1994,4,Agriculture,707
1994,5,Forest,197
1995,3,Urban,3
1995,4,Agriculture,704
1995,5,Forest,200
1996,3,Urban,3
1996,4,Agriculture,702
1996,5,Forest,202
1997,3,Urban,3
1997,4,Agriculture,700
1997,5,Forest,204
1998,3,Urban,3
1998,4,Agriculture,694
1998,5,Forest,210
1999,3,Urban,3
1999,4,Agriculture,689
1999,5,Forest,215
2000,3,Urban,3
2000,4,Agriculture,685
2000,5,Forest,219
2001,3,Urban,5
2001,4,Agriculture,555
2001,5,Forest,347
2002,3,Urban,5
2002,4,Agriculture,556
2002,5,Forest,346
2003,3,Urban,6
2003,4,Agriculture,514
2003,5,Forest,387
2004,3,Urban,5
2004,4,Agriculture,526
2004,5,Forest,376
2005,3,Urban,4
2005,4,Agriculture,586
2005,5,Forest,317
2006,3,Urban,4
2006,4,Agriculture,581
2006,5,Forest,322
2007,3,Urban,4
2007,4,Agriculture,569
2007,5,Forest,334
2008,3,Urban,4
2008,4,Agriculture,571
2008,5,Forest,332
2009,3,Urban,4
2009,4,Agriculture,594
2009,5,Forest,309
2010,3,Urban,3
2010,4,Agriculture,607
2010,5,Forest,297
2011,3,Urban,3
2011,4,Agriculture,616
2011,5,Forest,288
2012,3,Urban,3
2012,4,Agriculture,625
2012,5,Forest,279
2013,3,Urban,3
2013,4,Agriculture,637
2013,5,Forest,267
2014,3,Urban,3
2014,4,Agriculture,643
2014,5,Forest,261
2015,3,Urban,3
2015,4,Agriculture,651
2015,5,Forest,253
