year,class_id,class_name,count
1900,4,Agriculture,134
1900,5,Forest,8
1901,4,Agriculture,134
1901,5,Forest,8
1902,4,Agriculture,134
1902,5,Forest,8
1903,4,Agriculture,134
1903,5,Forest,8
1904,4,Agriculture,134
1904,5,Forest,8
1905,4,Agriculture,134
1905,5,Forest,8
1906,4,Agriculture,134
1906,5,Forest,8
1907,4,Agriculture,134
1907,5,Forest,8
1908,4,Agriculture,134
1908,5,Forest,8
1909,4,Agriculture,134
1909,5,Forest,8
1910,4,Agriculture,134
1910,5,Forest,8
1911,4,Agriculture,134
1911,5,Forest,8
1912,4,Agriculture,134
1912,5,Forest,8
1913,4,Agriculture,134
1913,5,Forest,8
1914,4,Agriculture,134
1914,5,Forest,8
1915,4,Agriculture,134
1915,5,Forest,8
1916,4,Agriculture,134
1916,5,Forest,8
1917,4,Agriculture,134
1917,5,Forest,8
1918,4,Agriculture,134
1918,5,Forest,8
1919,4,Agriculture,134
1919,5,Forest,8
1920,4,Agriculture,134
1920,5,Forest,8
1921,4,Agriculture,134
1921,5,Forest,8
1922,4,Agriculture,134
1922,5,Forest,8
1923,4,Agriculture,134
1923,5,Forest,8
1924,4,Agriculture,134
1924,5,Forest,8
1925,4,Agriculture,134
1925,5,Forest,8
1926,4,Agriculture,134
1926,5,Forest,8
1927,4,Agriculture,134
1927,5,Forest,8
1928,4,Agriculture,134
1928,5,Forest,8
1929,4,Agriculture,134
1929,5,Forest,8
1930,4,Agriculture,134
1930,5,Forest,8
1931,4,Agriculture,134
1931,5,Forest,8
1932,4,Agriculture,134
1932,5,Forest,8
1933,4,Agriculture,134
1933,5,Forest,8
1934,4,Agriculture,134
1934,5,Forest,8
1935,4,Agriculture,134
1935,5,Forest,8
1936,4,Agriculture,134
1936,5,Forest,8
1937,4,Agriculture,134
1937,5,Forest,8
1938,4,Agriculture,134
1938,5,Forest,8
1939,4,Agriculture,134
1939,5,Forest,8
1940,4,Agriculture,134
1940,5,Forest,8
1941,4,Agriculture,134
1941,5,Forest,8
1942,4,Agriculture,134
1942,5,Forest,8
1943,4,Agriculture,134
1943,5,Forest,8
1944,4,Agriculture,134
1944,5,Forest,8
1945,4,Agriculture,134
1945,5,Forest,8
1946,4,Agriculture,134
1946,5,Forest,8
1947,4,Agriculture,134
1947,5,Forest,8
1948,4,Agriculture,134
1948,5,Forest,8
1949,4,Agriculture,134
1949,5,Forest,8
1950,4,Agriculture,134
1950,5,Forest,8
1951,4,Agriculture,134
1951,5,Forest,8
1952,4,Agriculture,133
1952,5,Forest,9
1953,4,Agriculture,131
1953,5,Forest,11
1954,4,Agriculture,129
1954,5,Forest,13
1955,4,Agriculture,127
1955,5,Forest,15
1956,4,Agriculture,125
1956,5,Forest,17
1957,4,Agriculture,121
1957,5,Forest,21
1958,4,Agriculture,116
1958,5,Forest,26
1959,4,Agriculture,107
1959,5,Forest,35
1960,4,Agriculture,100
1960,5,Forest,42
1961,4,Agriculture,100
1961,5,Forest,42
1962,4,Agriculture,100
1962,5,Forest,42
1963,4,Agriculture,100
1963,5,Forest,42
1964,4,Agriculture,100
1964,5,Forest,42
1965,4,Agriculture,100
1965,5,Forest,42
1966,4,Agriculture,100
1966,5,Forest,42
1967,4,Agriculture,100
1967,5,Forest,42
1968,4,Agriculture,100
1968,5,Forest,42
1969,4,Agriculture,100
1969,5,Forest,42
1970,4,Agriculture,100
1970,5,Forest,42
1971,4,Agriculture,100
1971,5,Forest,42
1972,4,Agriculture,100
1972,5,Forest,42
1973,4,Agriculture,100
1973,5,Forest,42
1974,4,Agriculture,100
1974,5,Forest,42
1975,4,Agriculture,100
1975,5,Forest,42
1976,4,Agriculture,100
1976,5,Forest,42
1977,4,Agriculture,100
1977,5,Forest,42
1978,4,Agriculture,100
1978,5,Forest,42
1979,4,Agriculture,100
1979,5,Forest,42
1980,4,Agriculture,99
1980,5,Forest,43
1981,4,Agriculture,99
1981,5,Forest,43
1982,4,Agriculture,99
1982,5,Forest,43
1983,4,Agriculture,99
1983,5,Forest,43
1984,4,Agriculture,99
1984,5,Forest,43
1985,4,Agriculture,99
1985,5,Forest,43
1986,4,Agriculture,99
1986,5,Forest,43
1987,4,Agriculture,98
1987,5,Forest,44
1988,4,Agriculture,97
1988,5,Forest,45
1989,4,Agriculture,97
1989,5,Forest,45
1990,4,Agriculture,97
1990,5,Forest,45
1991,4,Agriculture,95
1991,5,Forest,47
1992,4,Agriculture,94
1992,5,Forest,48
1993,4,Agriculture,94
1993,5,Forest,48
1994,4,Agriculture,94
1994,5,Forest,48
1995,4,Agriculture,93
1995,5,Forest,49
1996,4,Agriculture,92
1996,5,Forest,50
1997,4,Agriculture,89
1997,5,Forest,53
1998,4,Agriculture,88
1998,5,Forest,54
1999,4,Agriculture,88
1999,5,Forest,54
2000,4,Agriculture,88
2000,5,Forest,54
2001,4,Agriculture,62
2001,5,Forest,80
2002,4,Agriculture,61
2002,5,Forest,81
2003,4,Agriculture,34
2003,5,Forest,108
2004,4,Agriculture,39
2004,5,Forest,103
2005,4,Agriculture,58
2005,5,Forest,84
2006,4,Agriculture,55
2006,5,Forest,87
2007,4,Agriculture,46
2007,5,Forest,96
2008,4,Agriculture,46
2008,5,Forest,96
2009,4,Agriculture,47
2009,5,Forest,95
2010,4,Agriculture,51
2010,5,Forest,91
2011,4,Agriculture,55
2011,5,Forest,87
2012,4,Agriculture,57
2012,5,Forest,85
2013,4,Agriculture,61
2013,5,Forest,81
2014,4,Agriculture,64
2014,5,Forest,78
2015,4,Agriculture,66
2015,5,Forest,76
