year,basin_index,class_id,count
1990,0,1,1652
1990,0,2,481
1990,0,3,1773
1990,0,4,29695
1990,0,5,17087
1990,1,1,288
1990,1,2,254
1990,1,3,313
1990,1,4,8085
1990,1,5,11777
1990,2,1,369
1990,2,2,444
1990,2,3,864
1990,2,4,19821
1990,2,5,5047
1990,3,1,21
1990,3,3,5
1990,3,4,282
1990,3,5,85
1990,4,1,462
1990,4,2,180
1990,4,3,1629
1990,4,4,11463
1990,4,5,9715
1990,5,1,654
1990,5,2,156
1990,5,3,195
1990,5,4,5207
1990,5,5,3039
1990,6,1,1049
1990,6,2,185
1990,6,3,251
1990,6,4,5748
1990,6,5,8439
1990,7,1,151
1990,7,2,92
1990,7,3,472
1990,7,4,10133
1990,7,5,5953
1990,8,1,45
1990,8,2,153
1990,8,3,529
1990,8,4,3485
1990,8,5,1975
1990,9,1,1130
1990,9,2,249
1990,9,3,873
1990,9,4,25112
1990,9,5,11046
1990,10,1,317
1990,10,2,210
1990,10,3,939
1990,10,4,18870
1990,10,5,8828
1990,11,1,74
1990,11,2,162
1990,11,3,322
1990,11,4,7437
1990,11,5,3184
1990,12,1,156
1990,12,2,89
1990,12,3,657
1990,12,4,15018
1990,12,5,6829
1990,13,1,174
1990,13,2,219
1990,13,3,1182
1990,13,4,23348
1990,13,5,9956
1990,14,1,19
1990,14,2,9
1990,14,3,148
1990,14,4,3408
1990,14,5,581
1990,15,1,12
1990,15,2,23
1990,15,3,328
1990,15,4,7776
1990,15,5,1556
1990,16,1,10
1990,16,3,87
1990,16,4,1256
1990,16,5,888
1990,17,1,248
1990,17,2,190
1990,17,3,1164
1990,17,4,21750
1990,17,5,7113
1990,18,1,41
1990,18,2,86
1990,18,3,240
1990,18,4,6530
1990,18,5,3665
2000,0,1,1643
2000,0,2,490
2000,0,3,1766
2000,0,4,29638
2000,0,5,17151
2000,1,1,287
2000,1,2,255
2000,1,3,318
2000,1,4,8067
2000,1,5,11790
2000,2,1,371
2000,2,2,443
2000,2,3,873
2000,2,4,19817
2000,2,5,5041
2000,3,1,21
2000,3,3,5
2000,3,4,282
2000,3,5,85
2000,4,1,461
2000,4,2,181
2000,4,3,1674
2000,4,4,11435
2000,4,5,9698
2000,5,1,654
2000,5,2,157
2000,5,3,200
2000,5,4,5202
2000,5,5,3038
2000,6,1,1045
2000,6,2,185
2000,6,3,256
2000,6,4,5725
2000,6,5,8461
2000,7,1,150
2000,7,2,99
2000,7,3,459
2000,7,4,10056
2000,7,5,6037
2000,8,1,46
2000,8,2,154
2000,8,3,529
2000,8,4,3469
2000,8,5,1989
2000,9,1,1124
2000,9,2,255
2000,9,3,881
2000,9,4,25002
2000,9,5,11148
2000,10,1,318
2000,10,2,201
2000,10,3,899
2000,10,4,18724
2000,10,5,9022
2000,11,1,74
2000,11,2,179
2000,11,3,312
2000,11,4,7348
2000,11,5,3266
2000,12,1,170
2000,12,2,104
2000,12,3,621
2000,12,4,14893
2000,12,5,6961
2000,13,1,183
2000,13,2,207
2000,13,3,1187
2000,13,4,23339
2000,13,5,9963
2000,14,1,19
2000,14,2,9
2000,14,3,144
2000,14,4,3381
2000,14,5,612
2000,15,1,15
2000,15,2,20
2000,15,3,328
2000,15,4,7757
2000,15,5,1575
2000,16,1,10
2000,16,3,79
2000,16,4,1256
2000,16,5,896
2000,17,1,249
2000,17,2,193
2000,17,3,1173
2000,17,4,21715
2000,17,5,7135
2000,18,1,40
2000,18,2,88
2000,18,3,240
2000,18,4,6523
2000,18,5,3671
2006,0,1,1647
2006,0,2,509
2006,0,3,1774
2006,0,4,29277
2006,0,5,17481
2006,1,1,298
2006,1,2,280
2006,1,3,295
2006,1,4,7798
2006,1,5,12046
2006,2,1,375
2006,2,2,460
2006,2,3,834
2006,2,4,19668
2006,2,5,5208
2006,3,1,21
2006,3,3,5
2006,3,4,273
2006,3,5,94
2006,4,1,449
2006,4,2,226
2006,4,3,1751
2006,4,4,11014
2006,4,5,10009
2006,5,1,655
2006,5,2,166
2006,5,3,186
2006,5,4,5070
2006,5,5,3174
2006,6,1,1049
2006,6,2,182
2006,6,3,236
2006,6,4,5379
2006,6,5,8826
2006,7,1,152
2006,7,2,99
2006,7,3,464
2006,7,4,9886
2006,7,5,6200
2006,8,1,40
2006,8,2,154
2006,8,3,636
2006,8,4,3307
2006,8,5,2050
2006,9,1,1155
2006,9,2,269
2006,9,3,860
2006,9,4,24345
2006,9,5,11781
2006,10,1,324
2006,10,2,195
2006,10,3,837
2006,10,4,18533
2006,10,5,9275
2006,11,1,73
2006,11,2,176
2006,11,3,281
2006,11,4,7305
2006,11,5,3344
2006,12,1,163
2006,12,2,106
2006,12,3,584
2006,12,4,14730
2006,12,5,7166
2006,13,1,186
2006,13,2,200
2006,13,3,1157
2006,13,4,23114
2006,13,5,10222
2006,14,1,18
2006,14,2,9
2006,14,3,136
2006,14,4,3379
2006,14,5,623
2006,15,1,16
2006,15,2,20
2006,15,3,303
2006,15,4,7752
2006,15,5,1604
2006,16,1,9
2006,16,3,77
2006,16,4,1223
2006,16,5,932
2006,17,1,249
2006,17,2,200
2006,17,3,1101
2006,17,4,21504
2006,17,5,7411
2006,18,1,44
2006,18,2,99
2006,18,3,227
2006,18,4,6329
2006,18,5,3863
2012,0,1,1666
2012,0,2,469
2012,0,3,1848
2012,0,4,28290
2012,0,5,18415
2012,1,1,297
2012,1,2,258
2012,1,3,305
2012,1,4,7344
2012,1,5,12513
2012,2,1,376
2012,2,2,426
2012,2,3,835
2012,2,4,19408
2012,2,5,5500
2012,3,1,21
2012,3,3,4
2012,3,4,262
2012,3,5,106
2012,4,1,452
2012,4,2,181
2012,4,3,1949
2012,4,4,10083
2012,4,5,10784
2012,5,1,676
2012,5,2,181
2012,5,3,198
2012,5,4,4874
2012,5,5,3322
2012,6,1,1079
2012,6,2,191
2012,6,3,267
2012,6,4,5130
2012,6,5,9005
2012,7,1,161
2012,7,2,106
2012,7,3,430
2012,7,4,9645
2012,7,5,6459
2012,8,1,42
2012,8,2,159
2012,8,3,689
2012,8,4,3246
2012,8,5,2051
2012,9,1,1196
2012,9,2,251
2012,9,3,922
2012,9,4,23385
2012,9,5,12656
2012,10,1,336
2012,10,2,196
2012,10,3,835
2012,10,4,18159
2012,10,5,9638
2012,11,1,74
2012,11,2,161
2012,11,3,291
2012,11,4,7085
2012,11,5,3568
2012,12,1,173
2012,12,2,83
2012,12,3,570
2012,12,4,14483
2012,12,5,7440
2012,13,1,186
2012,13,2,177
2012,13,3,1249
2012,13,4,22880
2012,13,5,10387
2012,14,1,18
2012,14,2,8
2012,14,3,136
2012,14,4,3346
2012,14,5,657
2012,15,1,16
2012,15,2,24
2012,15,3,305
2012,15,4,7737
2012,15,5,1613
2012,16,1,9
2012,16,3,74
2012,16,4,1214
2012,16,5,944
2012,17,1,261
2012,17,2,187
2012,17,3,1135
2012,17,4,21361
2012,17,5,7521
2012,18,1,46
2012,18,2,99
2012,18,3,244
2012,18,4,6215
2012,18,5,3958
2018,0,1,1667
2018,0,2,467
2018,0,3,1866
2018,0,4,28295
2018,0,5,18393
2018,1,1,297
2018,1,2,258
2018,1,3,303
2018,1,4,7367
2018,1,5,12492
2018,2,1,376
2018,2,2,426
2018,2,3,838
2018,2,4,19408
2018,2,5,5497
2018,3,1,21
2018,3,3,4
2018,3,4,262
2018,3,5,106
2018,4,1,452
2018,4,2,184
2018,4,3,1997
2018,4,4,10097
2018,4,5,10719
2018,5,1,676
2018,5,2,181
2018,5,3,195
2018,5,4,4877
2018,5,5,3322
2018,6,1,1079
2018,6,2,191
2018,6,3,267
2018,6,4,5130
2018,6,5,9005
2018,7,1,162
2018,7,2,107
2018,7,3,437
2018,7,4,9645
2018,7,5,6450
2018,8,1,42
2018,8,2,159
2018,8,3,712
2018,8,4,3225
2018,8,5,2049
2018,9,1,1196
2018,9,2,251
2018,9,3,924
2018,9,4,23402
2018,9,5,12637
2018,10,1,337
2018,10,2,196
2018,10,3,839
2018,10,4,18159
2018,10,5,9633
2018,11,1,74
2018,11,2,161
2018,11,3,291
2018,11,4,7082
2018,11,5,3571
2018,12,1,173
2018,12,2,83
2018,12,3,570
2018,12,4,14481
2018,12,5,7442
2018,13,1,186
2018,13,2,177
2018,13,3,1255
2018,13,4,22881
2018,13,5,10380
2018,14,1,18
2018,14,2,8
2018,14,3,136
2018,14,4,3346
2018,14,5,657
2018,15,1,16
2018,15,2,24
2018,15,3,308
2018,15,4,7741
2018,15,5,1606
2018,16,1,9
2018,16,3,74
2018,16,4,1215
2018,16,5,943
2018,17,1,262
2018,17,2,185
2018,17,3,1139
2018,17,4,21364
2018,17,5,7515
2018,18,1,46
2018,18,2,99
2018,18,3,246
2018,18,4,6214
2018,18,5,3957
