year,basin_index,class_id,count
1910,0,1,217
1910,0,3,76
1910,0,4,8193
1910,0,5,2543
1910,1,1,37
1910,1,4,1882
1910,1,5,2529
1910,2,1,59
1910,2,3,8
1910,2,4,5524
1910,2,5,686
1910,3,1,4
1910,3,3,1
1910,3,4,75
1910,3,5,3
1910,4,1,54
1910,4,3,126
1910,4,4,3381
1910,4,5,1510
1910,5,1,150
1910,5,3,2
1910,5,4,1166
1910,5,5,400
1910,6,1,122
1910,6,3,2
1910,6,4,1161
1910,6,5,1885
1910,7,1,23
1910,7,3,3
1910,7,4,2558
1910,7,5,746
1910,8,1,39
1910,8,3,44
1910,8,4,1100
1910,8,5,130
1910,9,1,160
1910,9,3,10
1910,9,4,6878
1910,9,5,1193
1910,10,1,43
1910,10,3,15
1910,10,4,5075
1910,10,5,1231
1910,11,4,2070
1910,11,5,329
1910,12,1,19
1910,12,3,9
1910,12,4,4046
1910,12,5,768
1910,13,1,6
1910,13,3,24
1910,13,4,7047
1910,13,5,1136
1910,14,3,1
1910,14,4,961
1910,14,5,25
1910,15,4,2198
1910,15,5,143
1910,16,1,3
1910,16,3,1
1910,16,4,383
1910,16,5,87
1910,17,1,42
1910,17,3,29
1910,17,4,6327
1910,17,5,802
1910,18,1,4
1910,18,3,2
1910,18,4,1593
1910,18,5,577
1911,0,1,217
1911,0,3,73
1911,0,4,8201
1911,0,5,2550
1911,1,1,37
1911,1,4,1878
1911,1,5,2543
1911,2,1,59
1911,2,3,7
1911,2,4,5519
1911,2,5,697
1911,3,1,4
1911,3,3,1
1911,3,4,75
1911,3,5,3
1911,4,1,54
1911,4,3,129
1911,4,4,3356
1911,4,5,1503
1911,5,1,150
1911,5,3,2
1911,5,4,1163
1911,5,5,404
1911,6,1,122
1911,6,3,2
1911,6,4,1148
1911,6,5,1891
1911,7,1,23
1911,7,3,3
1911,7,4,2551
1911,7,5,759
1911,8,1,39
1911,8,3,38
1911,8,4,1095
1911,8,5,134
1911,9,1,160
1911,9,3,10
1911,9,4,6884
1911,9,5,1200
1911,10,1,43
1911,10,3,15
1911,10,4,5059
1911,10,5,1232
1911,11,4,2077
1911,11,5,330
1911,12,1,19
1911,12,3,10
1911,12,4,4060
1911,12,5,771
1911,13,1,6
1911,13,3,33
1911,13,4,7039
1911,13,5,1138
1911,14,3,1
1911,14,4,962
1911,14,5,25
1911,15,4,2200
1911,15,5,146
1911,16,1,3
1911,16,3,1
1911,16,4,387
1911,16,5,79
1911,17,1,42
1911,17,3,28
1911,17,4,6333
1911,17,5,810
1911,18,1,4
1911,18,3,2
1911,18,4,1605
1911,18,5,577
1912,0,1,217
1912,0,3,76
1912,0,4,8209
1912,0,5,2560
1912,1,1,37
1912,1,4,1868
1912,1,5,2556
1912,2,1,59
1912,2,3,8
1912,2,4,5528
1912,2,5,698
1912,3,1,4
1912,3,3,1
1912,3,4,75
1912,3,5,3
1912,4,1,54
1912,4,3,126
1912,4,4,3354
1912,4,5,1518
1912,5,1,150
1912,5,3,2
1912,5,4,1163
1912,5,5,405
1912,6,1,122
1912,6,3,2
1912,6,4,1147
1912,6,5,1903
1912,7,1,23
1912,7,3,3
1912,7,4,2566
1912,7,5,762
1912,8,1,39
1912,8,3,44
1912,8,4,1100
1912,8,5,134
1912,9,1,160
1912,9,3,10
1912,9,4,6868
1912,9,5,1212
1912,10,1,43
1912,10,3,15
1912,10,4,5076
1912,10,5,1240
1912,11,4,2074
1912,11,5,331
1912,12,1,19
1912,12,3,10
1912,12,4,4057
1912,12,5,779
1912,13,1,6
1912,13,3,24
1912,13,4,7041
1912,13,5,1149
1912,14,3,1
1912,14,4,963
1912,14,5,24
1912,15,4,2202
1912,15,5,145
1912,16,1,3
1912,16,3,1
1912,16,4,385
1912,16,5,85
1912,17,1,42
1912,17,3,27
1912,17,4,6338
1912,17,5,815
1912,18,1,4
1912,18,3,2
1912,18,4,1605
1912,18,5,583
1913,0,1,217
1913,0,3,72
1913,0,4,8209
1913,0,5,2587
1913,1,1,37
1913,1,4,1872
1913,1,5,2555
1913,2,1,59
1913,2,3,7
1913,2,4,5518
1913,2,5,703
1913,3,1,4
1913,3,3,1
1913,3,4,76
1913,3,5,3
1913,4,1,54
1913,4,3,127
1913,4,4,3358
1913,4,5,1528
1913,5,1,150
1913,5,3,2
1913,5,4,1160
1913,5,5,409
1913,6,1,122
1913,6,3,2
1913,6,4,1149
1913,6,5,1910
1913,7,1,23
1913,7,3,3
1913,7,4,2551
1913,7,5,766
1913,8,1,39
1913,8,3,38
1913,8,4,1096
1913,8,5,134
1913,9,1,160
1913,9,3,10
1913,9,4,6889
1913,9,5,1208
1913,10,1,43
1913,10,3,15
1913,10,4,5071
1913,10,5,1255
1913,11,4,2089
1913,11,5,328
1913,12,1,19
1913,12,3,10
1913,12,4,4055
1913,12,5,783
1913,13,1,6
1913,13,3,31
1913,13,4,7037
1913,13,5,1148
1913,14,3,1
1913,14,4,971
1913,14,5,24
1913,15,4,2202
1913,15,5,145
1913,16,1,3
1913,16,3,1
1913,16,4,383
1913,16,5,89
1913,17,1,42
1913,17,3,28
1913,17,4,6329
1913,17,5,824
1913,18,1,4
1913,18,3,2
1913,18,4,1605
1913,18,5,588
1914,0,1,217
1914,0,3,73
1914,0,4,8232
1914,0,5,2601
1914,1,1,37
1914,1,4,1857
1914,1,5,2556
1914,2,1,59
1914,2,3,8
1914,2,4,5534
1914,2,5,704
1914,3,1,4
1914,3,3,1
1914,3,4,76
1914,3,5,3
1914,4,1,54
1914,4,3,128
1914,4,4,3340
1914,4,5,1544
1914,5,1,150
1914,5,3,2
1914,5,4,1162
1914,5,5,407
1914,6,1,122
1914,6,3,2
1914,6,4,1142
1914,6,5,1927
1914,7,1,23
1914,7,3,3
1914,7,4,2561
1914,7,5,769
1914,8,1,39
1914,8,3,44
1914,8,4,1098
1914,8,5,134
1914,9,1,160
1914,9,3,10
1914,9,4,6885
1914,9,5,1215
1914,10,1,43
1914,10,3,15
1914,10,4,5069
1914,10,5,1265
1914,11,4,2079
1914,11,5,333
1914,12,1,19
1914,12,3,10
1914,12,4,4062
1914,12,5,787
1914,13,1,6
1914,13,3,25
1914,13,4,7046
1914,13,5,1145
1914,14,3,1
1914,14,4,963
1914,14,5,23
1914,15,4,2199
1914,15,5,148
1914,16,1,3
1914,16,3,1
1914,16,4,383
1914,16,5,89
1914,17,1,42
1914,17,3,27
1914,17,4,6334
1914,17,5,826
1914,18,1,4
1914,18,3,2
1914,18,4,1586
1914,18,5,600
1915,0,1,217
1915,0,3,70
1915,0,4,8219
1915,0,5,2604
1915,1,1,37
1915,1,4,1869
1915,1,5,2549
1915,2,1,59
1915,2,3,7
1915,2,4,5522
1915,2,5,711
1915,3,1,4
1915,3,3,1
1915,3,4,75
1915,3,5,3
1915,4,1,54
1915,4,3,129
1915,4,4,3328
1915,4,5,1546
1915,5,1,150
1915,5,3,2
1915,5,4,1161
1915,5,5,408
1915,6,1,122
1915,6,3,2
1915,6,4,1136
1915,6,5,1937
1915,7,1,23
1915,7,3,3
1915,7,4,2558
1915,7,5,775
1915,8,1,39
1915,8,3,38
1915,8,4,1094
1915,8,5,134
1915,9,1,160
1915,9,3,10
1915,9,4,6907
1915,9,5,1208
1915,10,1,43
1915,10,3,15
1915,10,4,5072
1915,10,5,1272
1915,11,4,2088
1915,11,5,334
1915,12,1,19
1915,12,3,10
1915,12,4,4078
1915,12,5,775
1915,13,1,6
1915,13,3,31
1915,13,4,7028
1915,13,5,1155
1915,14,3,1
1915,14,4,968
1915,14,5,25
1915,15,4,2204
1915,15,5,145
1915,16,1,3
1915,16,3,1
1915,16,4,383
1915,16,5,89
1915,17,1,42
1915,17,3,28
1915,17,4,6326
1915,17,5,832
1915,18,1,4
