year,basin_index,class_id,count
1900,0,4,176
1900,0,5,12
1900,1,4,55
1900,1,5,15
1900,2,4,97
1900,3,4,2
1900,4,4,85
1900,4,5,2
1900,5,4,27
1900,6,4,45
1900,6,5,16
1900,7,4,57
1900,7,5,6
1900,8,3,1
1900,8,4,17
1900,9,4,136
1900,9,5,6
1900,10,4,101
1900,10,5,3
1900,11,4,42
1900,12,4,84
1900,13,4,126
1900,13,5,3
1900,14,4,13
1900,15,4,28
1900,16,4,5
1900,17,4,107
1900,17,5,8
1900,18,4,28
1900,18,5,5
1910,0,4,176
1910,0,5,12
1910,1,4,55
1910,1,5,15
1910,2,4,97
1910,3,4,2
1910,4,4,85
1910,4,5,2
1910,5,4,27
1910,6,4,45
1910,6,5,16
1910,7,4,57
1910,7,5,6
1910,8,3,1
1910,8,4,17
1910,9,4,136
1910,9,5,6
1910,10,4,101
1910,10,5,3
1910,11,4,42
1910,12,4,84
1910,13,4,126
1910,13,5,3
1910,14,4,13
1910,15,4,28
1910,16,4,5
1910,17,4,107
1910,17,5,8
1910,18,4,28
1910,18,5,5
1920,0,4,176
1920,0,5,12
1920,1,4,55
1920,1,5,15
1920,2,4,97
1920,3,4,2
1920,4,4,85
1920,4,5,2
1920,5,4,27
1920,6,4,45
1920,6,5,16
1920,7,4,57
1920,7,5,6
1920,8,3,1
1920,8,4,17
1920,9,4,136
1920,9,5,6
1920,10,4,100
1920,10,5,4
1920,11,4,42
1920,12,4,84
1920,13,4,126
1920,13,5,3
1920,14,4,13
1920,15,4,28
1920,16,4,5
1920,17,4,107
1920,17,5,8
1920,18,4,28
1920,18,5,5
1930,0,4,176
1930,0,5,12
1930,1,4,55
1930,1,5,15
1930,2,4,97
1930,3,4,2
1930,4,3,1
1930,4,4,84
1930,4,5,2
1930,5,4,27
1930,6,4,45
1930,6,5,16
1930,7,4,57
1930,7,5,6
1930,8,3,1
1930,8,4,17
1930,9,4,136
1930,9,5,6
1930,10,4,100
1930,10,5,4
1930,11,4,42
1930,12,4,84
1930,13,4,126
1930,13,5,3
1930,14,4,13
1930,15,4,28
1930,16,4,5
1930,17,4,107
1930,17,5,8
1930,18,4,28
1930,18,5,5
1940,0,4,177
1940,0,5,11
1940,1,4,55
1940,1,5,15
1940,2,4,97
1940,3,4,2
1940,4,3,1
1940,4,4,84
1940,4,5,2
1940,5,4,27
1940,6,4,45
1940,6,5,16
1940,7,4,57
1940,7,5,6
1940,8,3,1
1940,8,4,17
1940,9,4,136
1940,9,5,6
1940,10,4,101
1940,10,5,3
1940,11,4,42
1940,12,4,84
1940,13,4,126
1940,13,5,3
1940,14,4,13
1940,15,4,28
1940,16,4,5
1940,17,4,107
1940,17,5,8
1940,18,4,28
1940,18,5,5
1950,0,4,176
1950,0,5,12
1950,1,4,54
1950,1,5,16
1950,2,4,97
1950,3,4,2
1950,4,3,1
1950,4,4,84
1950,4,5,2
1950,5,4,27
1950,6,4,45
1950,6,5,16
1950,7,4,57
1950,7,5,6
1950,8,3,1
1950,8,4,17
1950,9,4,136
1950,9,5,6
1950,10,4,100
1950,10,5,4
1950,11,4,42
1950,12,4,84
1950,13,4,126
1950,13,5,3
1950,14,4,13
1950,15,4,28
1950,16,4,5
1950,17,4,107
1950,17,5,8
1950,18,4,28
1950,18,5,5
1951,0,4,176
1951,0,5,12
1951,1,4,54
1951,1,5,16
1951,2,4,97
1951,3,4,2
1951,4,3,1
1951,4,4,84
1951,4,5,2
1951,5,4,27
1951,6,4,44
1951,6,5,17
1951,7,4,57
1951,7,5,6
1951,8,3,1
1951,8,4,17
1951,9,4,136
1951,9,5,6
1951,10,4,100
1951,10,5,4
1951,11,4,42
1951,12,4,84
1951,13,4,126
1951,13,5,3
1951,14,4,13
1951,15,4,28
1951,16,4,5
1951,17,4,107
1951,17,5,8
1951,18,4,28
1951,18,5,5
1952,0,4,176
1952,0,5,12
1952,1,4,54
1952,1,5,16
1952,2,4,97
1952,3,4,2
1952,4,3,1
1952,4,4,84
1952,4,5,2
1952,5,4,27
1952,6,4,44
1952,6,5,17
1952,7,4,57
1952,7,5,6
1952,8,3,1
1952,8,4,17
1952,9,4,136
1952,9,5,6
1952,10,4,100
1952,10,5,4
1952,11,4,42
1952,12,4,84
1952,13,4,126
1952,13,5,3
1952,14,4,13
1952,15,4,28
1952,16,4,5
1952,17,4,107
1952,17,5,8
1952,18,4,28
1952,18,5,5
1953,0,4,176
1953,0,5,12
1953,1,4,54
1953,1,5,16
1953,2,4,97
1953,3,4,2
1953,4,3,1
1953,4,4,84
1953,4,5,2
1953,5,4,27
1953,6,4,44
1953,6,5,17
1953,7,4,57
1953,7,5,6
1953,8,3,1
1953,8,4,17
1953,9,4,136
1953,9,5,6
1953,10,4,100
1953,10,5,4
1953,11,4,42
1953,12,4,84
1953,13,4,126
1953,13,5,3
1953,14,4,13
1953,15,4,28
1953,16,4,5
1953,17,4,107
1953,17,5,8
1953,18,4,28
1953,18,5,5
1954,0,4,176
1954,0,5,12
1954,1,4,54
1954,1,5,16
1954,2,4,97
1954,3,4,2
1954,4,3,1
1954,4,4,84
1954,4,5,2
1954,5,4,27
1954,6,4,44
1954,6,5,17
1954,7,4,57
1954,7,5,6
1954,8,3,1
1954,8,4,17
1954,9,4,136
1954,9,5,6
1954,10,4,100
1954,10,5,4
1954,11,4,42
1954,12,4,84
1954,13,4,126
1954,13,5,3
1954,14,4,13
1954,15,4,28
1954,16,4,5
1954,17,4,107
1954,17,5,8
1954,18,4,28
1954,18,5,5
1955,0,4,176
1955,0,5,12
1955,1,4,54
1955,1,5,16
1955,2,4,97
1955,3,4,2
1955,4,3,1
1955,4,4,84
1955,4,5,2
1955,5,4,27
1955,6,4,44
1955,6,5,17
1955,7,4,57
1955,7,5,6
1955,8,3,1
1955,8,4,17
1955,9,4,136
1955,9,5,6
1955,10,4,100
1955,10,5,4
1955,11,4,42
1955,12,4,84
1955,13,4,126
1955,13,5,3
1955,14,4,13
1955,15,4,28
1955,16,4,5
1955,17,4,107
1955,17,5,8
1955,18,4,28
1955,18,5,5
1956,0,4,176
1956,0,5,12
1956,1,4,54
1956,1,5,16
1956,2,4,97
1956,3,4,2
1956,4,3,1
1956,4,4,84
1956,4,5,2
1956,5,4,27
1956,6,4,44
1956,6,5,17
1956,7,4,57
1956,7,5,6
1956,8,3,1
1956,8,4,17
1956,9,4,136
1956,9,5,6
1956,10,4,100
1956,10,5,4
1956,11,4,42
1956,12,4,84
1956,13,4,126
1956,13,5,3
1956,14,4,13
1956,15,4,28
1956,16,4,5
1956,17,4,107
1956,17,5,8
1956,18,4,28
1956,18,5,5
1957,0,4,176
1957,0,5,12
1957,1,4,54
1957,1,5,16
1957,2,4,97
1957,3,4,2
1957,4,3,1
1957,4,4,84
1957,4,5,2
1957,5,4,27
1957,6,4,44
1957,6,5,17
1957,7,4,57
1957,7,5,6
1957,8,3,1
1957,8,4,17
1957,9,4,136
1957,9,5,6
1957,10,4,100
1957,10,5,4
1957,11,4,42
1957,12,4,84
1957,13,4,126
1957,13,5,3
1957,14,4,13
1957,15,4,28
1957,16,4,5
1957,17,4,107
1957,17,5,8
1957,18,4,28
1957,18,5,5
1958,0,4,176
1958,0,5,12
1958,1,4,54
1958,1,5,16
1958,2,4,97
1958,3,4,2
1958,4,3,1
1958,4,4,84
1958,4,5,2
1958,5,4,27
1958,6,4,44
1958,6,5,17
1958,7,4,57
1958,7,5,6
1958,8,3,1
1958,8,4,17
1958,9,4,136
1958,9,5,6
1958,10,4,100
1958,10,5,4
1958,11,4,42
1958,12,4,84
1958,13,4,126
1958,13,5,3
1958,14,4,13
1958,15,4,28
1958,16,4,5
1958,17,4,107
1958,17,5,8
1958,18,4,28
1958,18,5,5
1959,0,4,176
1959,0,5,12
1959,1,4,54
1959,1,5,16
1959,2,4,97
1959,3,4,2
1959,4,3,1
1959,4,4,84
1959,4,5,2
1959,5,4,27
1959,6,4,44
1959,6,5,17
1959,7,4,57
1959,7,5,6
1959,8,3,1
1959,8,4,17
1959,9,4,136
1959,9,5,6
1959,10,4,100
1959,10,5,4
1959,11,4,42
1959,12,4,84
1959,13,4,126
1959,13,5,3
1959,14,4,13
1959,15,4,28
1959,16,4,5
1959,17,4,107
1959,17,5,8
1959,18,4,28
1959,18,5,5
1960,0,4,176
1960,0,5,12
1960,1,4,54
1960,1,5,16
1960,2,4,97
1960,3,4,2
1960,4,3,1
1960,4,4,84
1960,4,5,2
1960,5,4,27
1960,6,4,44
1960,6,5,17
1960,7,4,57
1960,7,5,6
1960,8,3,1
1960,8,4,17
1960,9,4,136
1960,9,5,6
1960,10,4,100
1960,10,5,4
1960,11,4,42
1960,12,4,84
1960,13,4,126
1960,13,5,3
1960,14,4,13
1960,15,4,28
1960,16,4,5
1960,17,4,107
1960,17,5,8
1960,18,4,28
1960,18,5,5
1961,0,4,176
1961,0,5,12
1961,1,4,54
1961,1,5,16
1961,2,4,97
1961,3,4,2
1961,4,3,1
1961,4,4,84
1961,4,5,2
1961,5,4,27
1961,6,4,44
1961,6,5,17
1961,7,4,57
1961,7,5,6
1961,8,3,1
1961,8,4,17
1961,9,4,136
1961,9,5,6
1961,10,4,100
1961,10,5,4
1961,11,4,42
1961,12,4,84
1961,13,4,126
1961,13,5,3
1961,14,4,13
1961,15,4,28
1961,16,4,5
1961,17,4,107
1961,17,5,8
1961,18,4,28
1961,18,5,5
1962,0,4,176
1962,0,5,12
1962,1,4,54
1962,1,5,16
1962,2,4,97
1962,3,4,2
1962,4,3,1
1962,4,4,84
1962,4,5,2
1962,5,4,27
1962,6,4,44
1962,6,5,17
1962,7,4,57
1962,7,5,6
1962,8,3,1
1962,8,4,17
1962,9,4,136
1962,9,5,6
1962,10,4,100
1962,10,5,4
1962,11,4,42
1962,12,4,84
1962,13,4,126
1962,13,5,3
1962,14,4,13
1962,15,4,28
1962,16,4,5
1962,17,4,107
1962,17,5,8
1962,18,4,28
1962,18,5,5
1963,0,4,176
1963,0,5,12
1963,1,4,54
1963,1,5,16
1963,2,4,97
1963,3,4,2
1963,4,3,1
1963,4,4,84
1963,4,5,2
1963,5,4,27
1963,6,4,44
1963,6,5,17
1963,7,4,57
1963,7,5,6
1963,8,3,1
1963,8,4,17
1963,9,4,136
1963,9,5,6
1963,10,4,100
1963,10,5,4
1963,11,4,42
1963,12,4,84
1963,13,4,126
1963,13,5,3
1963,14,4,13
1963,15,4,28
1963,16,4,5
1963,17,4,107
1963,17,5,8
1963,18,4,28
1963,18,5,5
1964,0,3,1
1964,0,4,175
1964,0,5,12
1964,1,4,54
1964,1,5,16
1964,2,4,97
1964,3,4,2
1964,4,3,1
1964,4,4,84
1964,4,5,2
1964,5,4,27
1964,6,4,44
1964,6,5,17
