year,basin_index,class_id,count
1950,0,3,1
1950,0,4,100
1950,0,5,26
1950,1,4,22
1950,1,5,31
1950,2,4,61
1950,2,5,7
1950,4,3,1
1950,4,4,31
1950,4,5,21
1950,5,4,14
1950,5,5,5
1950,6,4,24
1950,6,5,17
1950,7,4,46
1950,8,3,1
1950,8,4,11
1950,9,4,85
1950,9,5,17
1950,10,4,69
1950,10,5,1
1950,11,4,29
1950,11,5,1
1950,12,4,58
1950,13,4,88
1950,13,5,5
1950,14,4,9
1950,15,4,20
1950,16,4,3
1950,17,4,74
1950,17,5,5
1950,18,4,17
1950,18,5,4
1951,0,3,1
1951,0,4,99
1951,0,5,27
1951,1,4,23
1951,1,5,30
1951,2,4,61
1951,2,5,7
1951,4,3,1
1951,4,4,31
1951,4,5,21
1951,5,4,14
1951,5,5,5
1951,6,4,21
1951,6,5,20
1951,7,4,45
1951,7,5,1
1951,8,3,1
1951,8,4,11
1951,9,4,85
1951,9,5,17
1951,10,4,69
1951,10,5,1
1951,11,4,29
1951,11,5,1
1951,12,4,58
1951,13,4,88
1951,13,5,5
1951,14,4,9
1951,15,4,20
1951,16,4,3
1951,17,4,75
1951,17,5,4
1951,18,4,17
1951,18,5,4
1952,0,3,1
1952,0,4,100
1952,0,5,26
1952,1,4,23
1952,1,5,30
1952,2,4,61
1952,2,5,7
1952,4,3,1
1952,4,4,31
1952,4,5,21
1952,5,4,14
1952,5,5,5
1952,6,4,20
1952,6,5,21
1952,7,4,45
1952,7,5,1
1952,8,3,1
1952,8,4,11
1952,9,4,84
1952,9,5,18
1952,10,4,69
1952,10,5,1
1952,11,4,29
1952,11,5,1
1952,12,4,58
1952,13,4,89
1952,13,5,4
1952,14,4,9
1952,15,4,20
1952,16,4,3
1952,17,4,75
1952,17,5,4
1952,18,4,17
1952,18,5,4
1953,0,3,1
1953,0,4,100
1953,0,5,26
1953,1,4,23
1953,1,5,30
1953,2,4,61
1953,2,5,7
1953,4,3,1
1953,4,4,31
1953,4,5,21
1953,5,4,14
1953,5,5,5
1953,6,4,19
1953,6,5,22
