year,basin_index,class_id,count
1900,0,4,20
1900,0,5,1
1900,1,4,5
1900,1,5,2
1900,2,4,10
1900,4,4,10
1900,5,4,1
1900,6,4,3
1900,6,5,2
1900,7,4,7
1900,8,4,3
1900,9,4,17
1900,9,5,2
1900,10,4,11
1900,11,4,5
1900,12,4,11
1900,13,4,15
1900,17,4,14
1900,18,4,2
1900,18,5,1
1901,0,4,20
1901,0,5,1
1901,1,4,5
1901,1,5,2
1901,2,4,10
1901,4,4,10
1901,5,4,1
1901,6,4,3
1901,6,5,2
1901,7,4,7
1901,8,4,3
1901,9,4,17
1901,9,5,2
1901,10,4,11
1901,11,4,5
1901,12,4,11
1901,13,4,15
1901,17,4,14
1901,18,4,2
1901,18,5,1
1902,0,4,20
1902,0,5,1
1902,1,4,5
1902,1,5,2
1902,2,4,10
1902,4,4,10
1902,5,4,1
1902,6,4,3
1902,6,5,2
1902,7,4,7
1902,8,4,3
1902,9,4,17
1902,9,5,2
1902,10,4,11
1902,11,4,5
1902,12,4,11
1902,13,4,15
1902,17,4,14
1902,18,4,2
1902,18,5,1
1903,0,4,20
1903,0,5,1
1903,1,4,5
1903,1,5,2
1903,2,4,10
1903,4,4,10
1903,5,4,1
1903,6,4,3
1903,6,5,2
1903,7,4,7
1903,8,4,3
1903,9,4,17
1903,9,5,2
1903,10,4,11
1903,11,4,5
1903,12,4,11
1903,13,4,15
1903,17,4,14
1903,18,4,2
1903,18,5,1
1904,0,4,20
1904,0,5,1
1904,1,4,5
1904,1,5,2
1904,2,4,10
1904,4,4,10
1904,5,4,1
1904,6,4,3
1904,6,5,2
1904,7,4,7
1904,8,4,3
1904,9,4,17
1904,9,5,2
1904,10,4,11
1904,11,4,5
1904,12,4,11
1904,13,4,15
1904,17,4,14
1904,18,4,2
1904,18,5,1
1905,0,4,20
1905,0,5,1
1905,1,4,5
1905,1,5,2
1905,2,4,10
1905,4,4,10
1905,5,4,1
1905,6,4,3
1905,6,5,2
1905,7,4,7
1905,8,4,3
1905,9,4,17
1905,9,5,2
1905,10,4,11
1905,11,4,5
1905,12,4,11
1905,13,4,15
1905,17,4,14
1905,18,4,2
1905,18,5,1
1906,0,4,20
1906,0,5,1
1906,1,4,5
1906,1,5,2
1906,2,4,10
1906,4,4,10
1906,5,4,1
1906,6,4,3
1906,6,5,2
1906,7,4,7
1906,8,4,3
1906,9,4,17
1906,9,5,2
1906,10,4,11
1906,11,4,5
1906,12,4,11
1906,13,4,15
1906,17,4,14
1906,18,4,2
1906,18,5,1
1907,0,4,20
1907,0,5,1
1907,1,4,5
1907,1,5,2
1907,2,4,10
1907,4,4,10
1907,5,4,1
1907,6,4,3
1907,6,5,2
1907,7,4,7
1907,8,4,3
1907,9,4,17
1907,9,5,2
1907,10,4,11
1907,11,4,5
1907,12,4,11
1907,13,4,15
1907,17,4,14
1907,18,4,2
1907,18,5,1
1908,0,4,20
1908,0,5,1
1908,1,4,5
1908,1,5,2
